id, gis_id_temp, gis_id_org, created_by, updated_by, created_at, updated_at, lat, long
1,250923-0,,1,,2023-09-25 19:17:46,2023-09-25 19:17:46,0,0
2,250923-1,,1,,2023-09-25 19:18:00,2023-09-25 19:18:00,0,0
3,250923-2,,1,,2023-09-25 19:28:12,2023-09-25 19:28:12,0,0
4,260923-0,,1,,2023-09-26 07:10:11,2023-09-26 07:10:11,0,0
5,260923-1,,1,,2023-09-26 07:11:28,2023-09-26 07:11:28,0,0
6,260923-2,,1,,2023-09-26 07:12:46,2023-09-26 07:12:46,0,0
7,260923-3,,1,,2023-09-26 07:27:41,2023-09-26 07:27:41,0,0
8,260923-4,,1,,2023-09-26 07:28:07,2023-09-26 07:28:07,0,0
9,260923-5,,1,,2023-09-26 07:29:15,2023-09-26 07:29:15,0,0
10,260923-6,,1,,2023-09-26 07:29:45,2023-09-26 07:29:45,0,0
11,260923-7,,1,,2023-09-26 07:42:59,2023-09-26 07:42:59,0,0
12,260923-8,,1,,2023-09-26 10:49:50,2023-09-26 10:49:50,0,0
13,260923-9,,1,,2023-09-26 10:57:59,2023-09-26 10:57:59,0,0
14,260923-10,,1,,2023-09-26 11:01:18,2023-09-26 11:01:18,0,0
15,260923-11,,1,,2023-09-26 11:02:31,2023-09-26 11:02:31,0,0
16,260923-12,,1,,2023-09-26 11:04:34,2023-09-26 11:04:34,0,0
17,260923-13,,1,,2023-09-26 11:27:06,2023-09-26 11:27:06,0,0
18,260923-14,,1,,2023-09-26 17:29:00,2023-09-26 17:29:00,0,0
19,260923-15,,1,,2023-09-26 17:31:29,2023-09-26 17:31:29,0,0
20,260923-16,,1,,2023-09-26 17:31:51,2023-09-26 17:31:51,0,0
21,260923-17,,1,,2023-09-26 17:35:42,2023-09-26 17:35:42,0,0
22,260923-18,,1,,2023-09-26 17:36:19,2023-09-26 17:36:19,0,0
23,260923-19,,1,,2023-09-26 17:37:06,2023-09-26 17:37:06,0,0
24,260923-20,,1,,2023-09-26 17:40:26,2023-09-26 17:40:26,0,0
25,260923-21,,1,,2023-09-26 17:40:54,2023-09-26 17:40:54,0,0
26,260923-22,,1,,2023-09-26 17:45:17,2023-09-26 17:45:17,0,0
27,260923-23,,1,,2023-09-26 17:48:04,2023-09-26 17:48:04,0,0
28,260923-24,,1,,2023-09-26 17:48:24,2023-09-26 17:48:24,0,0
29,260923-25,,1,,2023-09-26 17:51:18,2023-09-26 17:51:18,0,0
30,260923-26,,1,,2023-09-26 17:54:45,2023-09-26 17:54:45,0,0
31,260923-27,,1,,2023-09-26 17:55:26,2023-09-26 17:55:26,0,0
32,260923-28,,1,,2023-09-26 17:55:32,2023-09-26 17:55:32,0,0
33,260923-29,,1,,2023-09-26 17:57:42,2023-09-26 17:57:42,0,0
34,260923-30,,1,,2023-09-26 18:11:46,2023-09-26 18:11:46,0,0
35,260923-31,,1,,2023-09-26 18:13:31,2023-09-26 18:13:31,0,0
36,260923-32,,1,,2023-09-26 18:16:24,2023-09-26 18:16:24,0,0
37,260923-33,,1,,2023-09-26 18:19:07,2023-09-26 18:19:07,0,0
38,260923-34,,1,,2023-09-26 18:20:18,2023-09-26 18:20:18,0,0
39,260923-35,,1,,2023-09-26 18:22:18,2023-09-26 18:22:18,0,0
40,260923-36,,1,,2023-09-26 18:22:46,2023-09-26 18:22:46,0,0
41,260923-37,,1,,2023-09-26 18:33:54,2023-09-26 18:33:54,0,0
42,260923-38,,1,,2023-09-26 18:35:21,2023-09-26 18:35:21,0,0
43,260923-39,,1,,2023-09-26 18:40:58,2023-09-26 18:40:58,0,0
44,260923-40,,1,,2023-09-26 18:42:10,2023-09-26 18:42:10,0,0
45,260923-41,,1,,2023-09-26 18:42:31,2023-09-26 18:42:31,0,0
46,260923-42,,1,,2023-09-26 18:43:04,2023-09-26 18:43:04,0,0
47,260923-43,,1,,2023-09-26 18:43:32,2023-09-26 18:43:32,0,0
48,260923-44,,1,,2023-09-26 18:43:40,2023-09-26 18:43:40,0,0
49,260923-45,,1,,2023-09-26 18:44:09,2023-09-26 18:44:09,0,0
50,260923-46,,1,,2023-09-26 18:44:30,2023-09-26 18:44:30,0,0
51,270923-0,,1,,2023-09-27 11:30:27,2023-09-27 11:30:27,0,0
52,270923-1,,1,,2023-09-27 11:30:44,2023-09-27 11:30:44,0,0
53,270923-2,,1,,2023-09-27 11:59:33,2023-09-27 11:59:33,0,0
54,270923-3,,1,,2023-09-27 12:14:12,2023-09-27 12:14:12,0,0
55,270923-4,,1,,2023-09-27 12:15:16,2023-09-27 12:15:16,0,0
56,270923-5,,1,,2023-09-27 12:18:49,2023-09-27 12:18:49,0,0
57,270923-6,,1,,2023-09-27 12:32:03,2023-09-27 12:32:03,0,0
58,270923-7,,1,,2023-09-27 12:38:52,2023-09-27 12:38:52,0,0
59,280923-0,,1,,2023-09-28 09:01:05,2023-09-28 09:01:05,0,0
60,041023-0,,1,,2023-10-04 18:42:37,2023-10-04 18:42:37,0,0
64,061023-0,,1,,2023-10-06 12:17:45,2023-10-06 12:17:45,78.24159624986349,17.41260429105928
65,P061023-1,,1,,2023-10-06 14:49:39,2023-10-06 14:49:39,78.2473182817921,17.418791992934075
66,P091023-0,,1,,2023-10-09 23:49:02,2023-10-09 23:49:02,78.24694633483887,17.399623088216075
67,P091023-2,,1,,2023-10-09 23:50:28,2023-10-09 23:50:28,78.24694633483887,17.399623088216075
